mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
5.07,0.67,4.632,0.382,0.887,0.353,6.254,12.929,0.0
5.303999999999999,0.67,4.189,0.39,0.8370000000000001,0.34299999999999997,5.7589999999999995,10.31,0.0
5.164,0.6759999999999999,4.144,0.397,0.828,0.33,5.699,9.232999999999999,0.0
5.09,0.672,4.03,0.39799999999999996,0.83,0.32799999999999996,5.586,8.949,0.0
4.719,0.683,3.931,0.402,0.806,0.308,5.448,11.202,0.0
5.138,0.669,3.666,0.392,0.827,0.329,5.214,9.392,0.0
5.197,0.656,3.356,0.394,0.828,0.332,4.909,8.848,0.0
5.431,0.643,3.4,0.384,0.838,0.338,4.96,8.64,0.0
5.664,0.652,3.24,0.379,0.842,0.334,4.795,8.852,0.0
5.821,0.634,3.153,0.385,0.852,0.339,4.73,8.175,0.0
5.707,0.648,3.08,0.371,0.826,0.33,4.607,8.128,0.0
5.863,0.648,2.968,0.367,0.833,0.333,4.501,8.216,0.0
6.141,0.651,3.108,0.35,0.814,0.325,4.596,8.197,0.0
5.758,0.65,2.948,0.36,0.824,0.328,4.459,8.116,0.0
5.993,0.643,2.953,0.365,0.825,0.33,4.474,8.081,0.0
5.946,0.644,2.905,0.349,0.827,0.33,4.411,8.129,0.0
5.966,0.658,2.881,0.352,0.808,0.321,4.363,8.143,0.0
6.357,0.642,2.765,0.355,0.816,0.329,4.265,8.089,0.0
6.094,0.642,2.867,0.348,0.811,0.341,4.367,8.101,0.0
6.153,0.66,2.753,0.333,0.792,0.314,4.192,8.121,0.0
6.457,0.648,2.58,0.346,0.807,0.33,4.063,8.121,0.0
6.213,0.654,2.699,0.339,0.797,0.326,4.161,8.088,0.0
6.331,0.66,2.434,0.329,0.793,0.332,3.889,8.129,0.0
6.443,0.655,2.545,0.335,0.792,0.325,3.997,8.169,0.0
6.366,0.676,2.567,0.342,0.779,0.313,4.0,8.104,0.0
6.311,0.678,2.537,0.338,0.769,0.314,3.959,8.057,0.0
6.231,0.666,2.543,0.337,0.766,0.32,3.965,8.101,0.0
6.524,0.676,2.434,0.335,0.766,0.326,3.861,8.156,0.0
6.367,0.673,2.425,0.336,0.768,0.32,3.849,8.077,0.0
6.399,0.68,2.346,0.32,0.745,0.315,3.725,8.085,0.0
6.676,0.686,2.389,0.329,0.729,0.307,3.754,8.15,0.0
6.4,0.678,2.25,0.334,0.744,0.316,3.643,8.106,0.0
6.641,0.688,2.519,0.322,0.728,0.312,3.881,8.102,0.0
6.453,0.687,2.307,0.326,0.723,0.309,3.665,8.113,0.0
6.547,0.692,2.38,0.329,0.72,0.305,3.734,8.138,0.0
6.561,0.689,2.213,0.324,0.716,0.3,3.552,8.089,0.0
6.352,0.695,2.372,0.323,0.72,0.306,3.721,8.1,0.0
6.618,0.699,2.153,0.315,0.701,0.309,3.477,8.148,0.0
6.742,0.702,2.278,0.337,0.709,0.31,3.634,8.136,0.0
6.58,0.685,2.264,0.319,0.722,0.306,3.61,8.073,0.0
6.455,0.699,2.236,0.308,0.693,0.299,3.536,8.104,0.0
6.734,0.702,2.226,0.315,0.699,0.302,3.542,8.136,0.0
6.555,0.699,2.178,0.32,0.691,0.3,3.489,8.099,0.0
6.866,0.696,2.17,0.312,0.703,0.292,3.477,8.096,0.0
6.639,0.702,2.217,0.311,0.679,0.305,3.512,8.103,0.0
6.924,0.716,2.283,0.313,0.68,0.301,3.576,8.114,0.0
6.785,0.708,2.105,0.316,0.68,0.295,3.397,8.039,0.0
6.898,0.696,2.218,0.309,0.687,0.301,3.515,8.119,0.0
6.878,0.702,2.017,0.309,0.683,0.293,3.302,8.139,0.0
6.699,0.709,2.266,0.309,0.682,0.283,3.54,8.144,0.0
6.882,0.71,2.113,0.316,0.679,0.293,3.401,8.079,0.0
6.465,0.708,1.971,0.306,0.669,0.302,3.248,8.104,0.0
6.73,0.708,2.174,0.315,0.675,0.301,3.464,8.131,0.0
6.705,0.706,2.001,0.31,0.662,0.289,3.262,8.073,0.0
6.75,0.702,2.02,0.312,0.683,0.298,3.313,8.1,0.0
6.977,0.711,2.089,0.311,0.657,0.294,3.351,8.101,0.0
7.084,0.713,2.012,0.312,0.668,0.287,3.28,8.129,0.0
6.662,0.712,2.143,0.307,0.651,0.29,3.391,8.053,0.0
6.913,0.724,1.885,0.306,0.649,0.295,3.135,8.097,0.0
6.805,0.714,2.0,0.307,0.66,0.289,3.256,8.14,0.0
6.811,0.72,2.015,0.313,0.649,0.287,3.263,8.088,0.0
7.011,0.719,1.931,0.301,0.643,0.282,3.157,8.087,0.0
6.722,0.722,1.97,0.304,0.64,0.287,3.2,8.111,0.0
7.086,0.719,1.851,0.303,0.645,0.29,3.089,8.137,0.0
6.804,0.722,1.977,0.29,0.634,0.286,3.187,8.098,0.0
7.063,0.71,1.864,0.297,0.663,0.299,3.124,8.102,0.0
6.984,0.729,1.772,0.296,0.632,0.29,2.99,8.151,0.0
6.971,0.731,1.96,0.303,0.618,0.278,3.159,8.36,0.0
6.95,0.718,1.973,0.296,0.652,0.29,3.21,8.848,0.0
6.924,0.72,1.87,0.293,0.633,0.294,3.09,8.38,0.0
7.18,0.723,1.899,0.296,0.632,0.296,3.124,8.501,0.0
7.032,0.72,1.798,0.3,0.645,0.289,3.032,8.38,0.0
7.235,0.718,1.752,0.293,0.637,0.283,2.966,8.206,0.0
6.929,0.739,1.867,0.297,0.617,0.281,3.062,8.208,0.0
6.994,0.732,1.865,0.296,0.623,0.267,3.052,8.274,0.0
6.914,0.736,1.794,0.291,0.621,0.276,2.983,8.171,0.0
7.117,0.742,1.775,0.291,0.608,0.286,2.96,8.17,0.0
7.089,0.731,1.762,0.289,0.614,0.274,2.939,8.183,0.0
7.212,0.734,1.927,0.299,0.621,0.274,3.122,8.246,0.0
7.227,0.734,1.744,0.288,0.621,0.272,2.926,8.409,0.0
7.039,0.74,1.738,0.298,0.608,0.276,2.92,8.249,0.0
7.328,0.731,1.77,0.293,0.621,0.283,2.967,8.76,0.0
7.025,0.741,1.64,0.291,0.599,0.271,2.802,8.301,0.0
7.059,0.727,1.747,0.287,0.621,0.279,2.933,8.956,0.0
6.931,0.736,1.752,0.286,0.607,0.279,2.925,8.59,0.0
7.093,0.738,1.603,0.29,0.606,0.269,2.768,8.393,0.0
7.134,0.742,1.749,0.29,0.603,0.276,2.918,8.142,0.0
7.103,0.74,1.66,0.289,0.586,0.272,2.808,8.281,0.0
7.232,0.741,1.702,0.284,0.592,0.272,2.851,8.335,0.0
7.086,0.74,1.613,0.286,0.597,0.266,2.761,8.3,0.0
7.159,0.745,1.657,0.275,0.599,0.277,2.808,8.301,0.0
7.095,0.744,1.718,0.278,0.587,0.278,2.861,8.385,0.0
7.311,0.743,1.629,0.286,0.601,0.269,2.785,8.331,0.0
6.977,0.747,1.567,0.278,0.589,0.26,2.695,8.387,0.0
7.254,0.749,1.671,0.284,0.589,0.269,2.814,8.527,0.0
7.25,0.756,1.501,0.275,0.563,0.272,2.611,8.604,0.0
7.259,0.748,1.615,0.277,0.596,0.269,2.757,8.528,0.0
7.118,0.755,1.567,0.288,0.581,0.263,2.698,8.51,0.0
7.251,0.752,1.598,0.281,0.58,0.268,2.726,8.513,0.0
7.441,0.746,1.643,0.278,0.576,0.268,2.765,8.574,0.0
